attendance,internal_marks,assignment_marks,previous_marks,study_hours,backlogs,performance
95,90,92,88,6,0,Good
92,85,88,86,5,0,Good
88,82,85,80,5,0,Good
85,78,82,76,4,0,Good
90,88,90,84,6,0,Good
80,75,78,72,4,0,Good
78,70,75,70,4,1,Average
75,68,72,67,3,1,Average
72,65,70,64,3,1,Average
70,62,68,60,3,1,Average
68,60,65,58,2,2,Average
65,58,62,55,2,2,Average
62,55,60,52,2,2,Average
60,52,58,50,2,2,Average
58,50,55,48,2,3,Low
55,48,52,45,1,3,Low
52,45,50,42,1,3,Low
48,40,45,38,1,4,Low
45,38,42,35,1,4,Low
40,35,40,32,1,5,Low
